N,P,K,temperature,humidity,pH,rainfall,crop
134.37,61.65,100.0,23.31,79.2,6.86,1044.87,Sugarcane
60.97,31.12,55.18,22.06,61.86,7.68,274.29,Wheat
94.77,23.25,60.75,21.06,60.79,6.56,349.18,Onion
88.34,27.8,63.16,22.87,57.38,6.65,391.69,Maize
83.42,17.34,44.08,24.09,73.04,6.75,438.35,Maize
19.25,19.33,45.08,16.66,50.23,7.1,225.98,Gram
163.31,43.0,86.5,21.39,67.13,7.71,505.98,Sugarbeet
76.25,20.12,23.62,19.72,45.94,7.12,288.04,Gram
111.99,24.41,55.05,25.61,61.91,6.55,512.97,Maize
132.9,47.21,74.92,17.11,58.4,6.87,377.12,Sugarbeet
51.53,34.3,39.84,16.51,72.08,7.32,298.52,Barley
61.18,30.64,55.26,31.27,92.05,6.35,1384.33,Rice
26.2,29.16,34.54,19.6,53.37,7.25,313.78,Pulses
111.55,53.24,73.79,16.85,66.14,7.22,482.71,Sugarbeet
46.47,17.8,22.63,27.7,55.28,6.51,342.03,Groundnut
66.05,28.1,61.39,19.03,53.56,6.56,386.65,Wheat
57.87,23.14,52.65,19.95,54.83,6.98,273.52,Barley
22.45,15.54,46.02,25.35,54.17,6.66,475.95,Groundnut
71.23,23.81,57.63,17.72,63.32,6.59,257.68,Wheat
49.59,15.51,54.32,21.12,56.73,6.95,282.43,Gram
136.53,46.6,68.81,20.91,67.86,7.44,511.39,Sugarbeet
103.89,24.51,57.26,29.58,56.8,7.46,570.93,Cotton
63.67,22.39,40.02,18.4,50.35,7.24,350.68,Barley
2.46,25.1,41.87,21.29,48.67,6.73,427.28,Groundnut
60.98,31.18,51.05,34.68,85.17,6.23,1399.66,Rice
82.93,12.3,15.54,32.63,54.91,6.84,543.85,Millet
61.51,9.91,50.36,24.83,45.88,5.93,481.26,Groundnut
95.64,29.74,48.28,24.06,72.99,6.72,335.18,Tomato
39.29,21.1,43.05,31.06,54.72,6.44,508.72,Millet
144.38,43.17,90.78,18.9,52.62,7.05,370.36,Sugarbeet
69.25,29.19,64.54,22.88,48.81,6.77,337.93,Wheat
38.43,37.56,38.04,17.54,65.43,6.02,322.29,Pulses
131.61,50.31,68.16,20.38,76.44,7.05,457.3,Sugarbeet
64.72,31.04,50.03,19.4,61.41,6.51,284.78,Wheat
149.57,55.61,63.5,19.37,59.01,7.33,358.25,Sugarbeet
99.32,31.22,52.66,30.28,57.91,7.08,531.29,Cotton
58.78,20.43,42.67,27.58,65.68,6.65,540.9,Soybean
96.12,29.89,72.34,20.19,68.93,6.87,349.05,Onion
158.19,59.6,83.67,25.21,77.19,6.64,979.28,Sugarcane
63.7,24.02,59.52,22.02,71.94,7.38,438.32,Wheat
37.71,29.42,46.85,25.13,57.9,6.57,373.37,Groundnut
112.1,29.7,68.68,25.56,75.9,7.17,369.49,Maize
67.56,27.57,57.62,29.53,63.66,6.81,656.98,Cotton
43.39,34.67,27.5,25.09,63.32,6.98,433.05,Groundnut
88.33,35.92,28.7,20.54,62.96,7.5,287.8,Wheat
48.7,22.23,21.23,30.04,48.2,7.08,541.13,Millet
176.08,66.53,100.0,25.2,79.7,7.24,941.28,Sugarcane
82.52,32.53,59.01,19.47,72.1,6.82,374.75,Onion
78.08,36.27,55.62,25.59,64.61,6.64,471.39,Soybean
145.12,50.06,78.86,22.2,58.58,7.25,426.84,Sugarbeet
94.79,31.48,59.79,17.5,67.34,6.86,382.26,Onion
49.41,19.73,44.68,28.28,49.32,6.11,511.77,Groundnut
112.9,48.67,87.07,16.39,68.04,7.85,497.04,Sugarbeet
71.11,18.87,63.57,22.99,68.8,6.86,259.45,Onion
83.14,39.88,51.9,20.9,81.36,7.38,457.02,Tomato
147.26,49.11,100.0,23.17,70.28,6.58,1033.49,Sugarcane
6.89,13.44,21.91,22.41,50.5,6.02,374.63,Groundnut
60.14,26.47,54.81,23.54,58.46,6.44,462.92,Groundnut
84.11,20.93,70.21,22.49,86.61,6.8,439.39,Tomato
72.62,27.24,40.77,18.39,52.15,7.31,303.65,Wheat
69.29,25.4,41.17,28.86,35.77,7.15,490.27,Millet
36.06,14.47,28.96,25.72,69.32,6.52,400.44,Groundnut
59.13,38.73,61.15,21.48,68.79,7.75,224.1,Wheat
14.82,30.69,28.68,24.04,62.8,6.62,373.15,Gram
26.84,30.38,46.04,19.2,64.12,6.61,287.41,Pulses
38.62,26.0,43.64,23.22,48.85,7.29,289.96,Pulses
43.18,26.2,21.6,23.47,63.92,7.17,332.29,Barley
44.92,30.03,37.93,19.68,51.82,7.15,261.6,Gram
37.19,19.5,45.92,20.96,61.06,6.8,264.39,Pulses
99.19,33.69,46.55,28.61,93.17,6.02,1379.19,Rice
45.35,25.15,54.38,21.14,65.37,6.87,374.08,Pulses
